# Generator: analysis/compute_dependency.py --json
# Git commit: ba333cfc8d54e24984076b44d043a05be139e979
# SHA-256: e73025994bab6b5b59fe84235fba2bd23f40e6a4dfc562f8d6c19ddaaa88a86a
# Generated: 2026-07-04
# Tool version: 1.0.0
# Columns: block (0-1), round (0-63), op_type (S1|ch|temp1|S0|maj|temp2|e_new|a_new), is_invariant (1=invariant, 0=nonce-dependent)
#
block,round,op_type,is_invariant
0,55,maj,1
0,55,temp2,1
0,55,e_new,1
0,55,a_new,1
0,56,S1,1
0,56,ch,1
0,56,temp1,1
0,56,S0,1
0,56,maj,1
0,56,temp2,1
0,56,e_new,1
0,56,a_new,1
0,57,S1,1
0,57,ch,1
0,57,temp1,1
0,57,S0,1
0,57,maj,1
0,57,temp2,1
0,57,e_new,1
0,57,a_new,1
0,58,S1,1
0,58,ch,1
0,58,temp1,1
0,58,S0,1
0,58,maj,1
0,58,temp2,1
0,58,e_new,1
0,58,a_new,1
0,59,S1,1
0,59,ch,1
0,59,temp1,1
0,59,S0,1
0,59,maj,1
0,59,temp2,1
0,59,e_new,1
0,59,a_new,1
0,60,S1,1
0,60,ch,1
0,60,temp1,1
0,60,S0,1
0,60,maj,1
0,60,temp2,1
0,60,e_new,1
0,60,a_new,1
0,61,S1,1
0,61,ch,1
0,61,temp1,1
0,61,S0,1
0,61,maj,1
0,61,temp2,1
0,61,e_new,1
0,61,a_new,1
0,62,S1,1
0,62,ch,1
0,62,temp1,1
0,62,S0,1
0,62,maj,1
0,62,temp2,1
0,62,e_new,1
0,62,a_new,1
0,63,S1,1
0,63,ch,1
0,63,temp1,1
0,63,S0,1
0,63,maj,1
0,63,temp2,1
0,63,e_new,1
0,63,a_new,1
1,0,S1,1
1,0,ch,1
1,0,temp1,1
1,0,S0,1
1,0,maj,1
1,0,temp2,1
1,0,e_new,1
1,0,a_new,1
1,1,S1,1
1,1,ch,1
1,1,temp1,1
1,1,S0,1
1,1,maj,1
1,1,temp2,1
1,1,e_new,1
1,1,a_new,1
1,2,S1,1
1,2,ch,1
1,2,temp1,1
1,2,S0,1
1,2,maj,1
1,2,temp2,1
1,2,e_new,1
1,2,a_new,1
1,3,S1,1
1,3,ch,1
1,3,temp1,0
1,3,S0,1
1,3,maj,1
1,3,temp2,1
1,3,e_new,0
1,3,a_new,0
1,4,S1,0
1,4,ch,0
1,4,temp1,0
1,4,S0,0
1,4,maj,0
1,4,temp2,0
1,4,e_new,0
1,4,a_new,0
1,5,S1,0
1,5,ch,0
1,5,temp1,0
1,5,S0,0
1,5,maj,0
1,5,temp2,0
1,5,e_new,0
1,5,a_new,0
1,6,S1,0
1,6,ch,0
1,6,temp1,0
1,6,S0,0
1,6,maj,0
1,6,temp2,0
1,6,e_new,0
1,6,a_new,0
1,7,S1,0
1,7,ch,0
1,7,temp1,0
1,7,S0,0
1,7,maj,0
1,7,temp2,0
1,7,e_new,0
1,7,a_new,0
1,8,S1,0
1,8,ch,0
1,8,temp1,0
1,8,S0,0
1,8,maj,0
1,8,temp2,0
1,8,e_new,0
1,8,a_new,0
1,9,S1,0
1,9,ch,0
1,9,temp1,0
1,9,S0,0
1,9,maj,0
1,9,temp2,0
1,9,e_new,0
1,9,a_new,0
1,10,S1,0
1,10,ch,0
1,10,temp1,0
1,10,S0,0
1,10,maj,0
1,10,temp2,0
1,10,e_new,0
1,10,a_new,0
1,11,S1,0
1,11,ch,0
1,11,temp1,0
1,11,S0,0
1,11,maj,0
1,11,temp2,0
1,11,e_new,0
1,11,a_new,0
1,12,S1,0
1,12,ch,0
1,12,temp1,0
1,12,S0,0
1,12,maj,0
1,12,temp2,0
1,12,e_new,0
1,12,a_new,0
1,13,S1,0
1,13,ch,0
1,13,temp1,0
1,13,S0,0
1,13,maj,0
1,13,temp2,0
1,13,e_new,0
1,13,a_new,0
1,14,S1,0
1,14,ch,0
1,14,temp1,0
1,14,S0,0
1,14,maj,0
1,14,temp2,0
1,14,e_new,0
1,14,a_new,0
1,15,S1,0
1,15,ch,0
1,15,temp1,0
1,15,S0,0
1,15,maj,0
1,15,temp2,0
1,15,e_new,0
1,15,a_new,0
1,16,S1,0
1,16,ch,0
1,16,temp1,0
1,16,S0,0
1,16,maj,0
1,16,temp2,0
1,16,e_new,0
1,16,a_new,0
1,17,S1,0
1,17,ch,0
1,17,temp1,0
1,17,S0,0
1,17,maj,0
1,17,temp2,0
1,17,e_new,0
1,17,a_new,0
1,18,S1,0
1,18,ch,0
1,18,temp1,0
1,18,S0,0
1,18,maj,0
1,18,temp2,0
1,18,e_new,0
1,18,a_new,0
1,19,S1,0
1,19,ch,0
1,19,temp1,0
1,19,S0,0
1,19,maj,0
1,19,temp2,0
1,19,e_new,0
